codigo_proveedor,nombre
DISC,DISTRIBUCION Y COMERCIOS.S.A
DISF,DISFAVIL DISTRIBUIDORA
DISI,DIMESI S.A
DISK,DISKORE S.A.C.
DISM,DISMASUR DISTRIBUIDORA S.C.R.L
DISP,DISPOLAB FARMACEUTICA PERU S.A.
DISR,DISPRONA
DISV,DISANVA E.I.R.L.
DIVE,DISTRIBUIDORA VEGA E.I.R.L
DJ,DISTRIB JANDY
DMED,DROG.Y DIST. MEDICA.E.I.R.L
DNTS,DENTALISTORE YM E.I.R.L.
DOIT,DOIT
DONO,DONOFRIO
D'PR,D'PRIMERA DISTRIBUCIONES
DPRO,DIST PHRYMA SAC
DREA,ANDREA DISTRIBUCIONES
DREY,DREYSA DROGUERIA
DROK,DROKASA
DROL,DROLAGA
DROM,DROGUERIAS DEL MUNDO
DSUN,DROGUERIA SUNDOWN S.R.L.
DVEL,DIVELCO SCRL
EBEL,EBEL
ECKE,ECKERD PERU SA
ECON,ECONOMAX
ELKA,ELKAS IMPORTACIONES E.I.R.L.
ELVE,ELVETIUM PERU S.A.
EMM,BOTICAS EMMEL E.I.R.L.
ESC,ESCARZA DISTRIBUCIONES EIRL
ESPH,ESPHARM
ESS,ESSENCIAL BEAUTY E.I.R.L.
ESTR,PERFUMERIA LA ESTRELLA
EUME,EUROMEDIC
EURD,EURODERMA DROGUERIA S.A.C. - EURODERMA
EURO,LABORATORIO EUROPHARM S.R.L.
EXAC,EXACTA LAB S.A.C.
EXP,EXPRESS 54 S.A.C.
FA,FAA
FAEX,FARMEXPRESS S.A.C.
FAGO,FARMAGOLD S.A
FAMA,FARMILIA GRUPO FARMACEUTICO
FAPI,FAPIET E.I.R.L.
FAR,FARMUR
FARA,FARAOM E.I.R.LTDA
FARB,BOTICA LOS CEDROS S.A.C.
FARC,DROGUERIA FARMACARE SOCIEDAD ANONIMA CER
FARM,FARMINDUSTRIA S.A.
FARQ,FARMAQUIMIKA EMPRESA INDIVIDUAL DE RESPO
FAS,FARMACIA ANGEL DE LA SALUD
FASA,BOTICAS FASA
FASU,FARMACEUTICA DEL SUR S.R.L.
FCGA,FIGUEROA CHOQUE GISELA ALEXANDRA
F-DE,FARMINDUSTRIA DERMATOLOGIA
FER1,FERCO IMPORT EXPORT S.A
FERC,FERCO IMPORT EXPORT S.A
FERP,DISTRIBUIDORA FERPESA
FEST,FESTIVAL DISTRIB. S.C.R.L.
FHAR,FHARTON SOCIEDAD ANÓNIMA CERRADA
FIE,FIELD
FIOG,GAMARRA SANCHEZ MARCO ANTONIO
FIOR,FIORI COMPA¥IA INDUSTRIAL S.A
FLAS,FLASH DISTRIBUCIONES S.A
FORE,FOREVER LIVING PRODUCTS PERU
FPAZ,FARMACIA LA PAZ
FRAC,AUTOSERVICIO FRANCO
FRAN,LIBRERIA SAN FRANCISCO
FRAT,FRATELLO JL E.I.R.L.
FRED,DISTRIBUIDORA FREDDY
FSOL,FARMACIA EL SOL
FSUR,FARMACIA DEL SUR
G&A,COMUNICATION CENTER E.I.R.L.
G&G,GYG DISTRIBUIDORA
G.B,G.B.INTERNATIONAL
GAMA,FARMACIA GAMA S.R.L.
GAME,DISTRIBUCIONES GAMERO
GEIM,GERMAN IMPORT
GENE,GENERAL
GEOR,DISTRIB.DE GOLOSINAS PERUANAS
GERR,GERRY
GIBS,ENRIQUE GIBSON LTDA.S.A
GIMA,GIMA E.I.R.L. EXPORT-IMPORT
GLAX,GLAXO SMITHKLINE
GLEN,GLENMARK
GLOB,SOLUCIONES GLOBALES MEDICAS EMPRESA INDI
GNCP,G.N.C.PERUANA
GOLO,COMERCIAL LA GOLOSINA E.I.R.L.
GOYE,HOSPITAL GOYENECHE
GPEC,GRUPECC
GRAF,GRAFICA PESQUERA S.A
